Start Time, Stop Time, Src IP, Src Country, Src Port, Dst IP, Dst Country, Dst Port, Packets, Data bytes, Bytes, Arkime Node, URI, Sender, Receiver, Subject, Filenames, Host, Alt Name, Channel
1691735812651,1691735812656,10.10.128.73,,56383,168.126.63.1,KR,53,2,137,221,hanlab,,,,,,"b.staticaa.com",,
1691735812651,1691735812657,10.10.128.73,,58361,168.126.63.1,KR,53,2,80,164,hanlab,,,,,,"b.staticaa.com",,
1691735812670,1691735812670,10.10.130.119,,45378,239.255.255.250,,1900,1,511,553,hanlab,,,,,,,,
1691735812670,1691735812670,10.10.130.119,,52037,239.255.255.250,,1900,3,1366,1492,hanlab,,,,,,,,
1691735685919,1691735812673,10.10.128.132,,50730,216.239.38.181,US,443,299,40996,53554,hanlab,,,,,,,,
1691735803556,1691735812697,10.10.128.105,,56662,211.115.106.205,KR,80,10,554,1154,hanlab,"gms.ahnlab.com/jk?c=106&p=lX4lwn9dvdQklw0bxl1s8nscXr6NfhzFjijBsSaWFQ8=&k=1",,,,,,,
1691735812658,1691735812702,10.10.128.73,,64791,35.241.40.31,US,443,17,7897,8611,hanlab,,,,,,,,
1691735812204,1691735812702,10.10.118.208,,5237,10.10.4.26,,445,3,0,186,hanlab,,,,,,,,
1691735812718,1691735812718,10.12.10.11,,49860,10.10.1.40,,8888,1,0,246,hanlab,,,,,,,,
1691735812578,1691735812726,10.10.128.132,,59320,142.250.207.99,US,443,18,6278,7034,hanlab,,,,,,,,
1691735812733,1691735812734,10.10.118.208,,5238,10.10.4.27,,445,2,0,126,hanlab,,,,,,,,
1691735812747,1691735812747,10.11.50.230,,1392,10.10.1.88,,57084,2,0,122,hanlab,,,,,,,,
1691735812749,1691735812749,10.10.118.208,,5239,10.10.4.28,,445,2,0,126,hanlab,,,,,,,,
1691735611677,1691735812758,10.10.161.195,,50636,10.10.1.45,,1521,75,0,21555,hanlab,,,,,,,,
1691735812698,1691735812759,10.10.128.105,,56663,211.115.106.205,KR,80,7,554,974,hanlab,"gms.ahnlab.com/jk?c=106&p=lX4lwn9dvdQklw0bxl1s8nscXr6NfhzFjijBsSaWFQ8=&k=1",,,,,,,
1691735812780,1691735812781,10.10.118.208,,5242,10.10.4.31,,445,2,0,126,hanlab,,,,,,,,
1691735812780,1691735812781,10.10.118.208,,5241,10.10.4.30,,445,2,0,126,hanlab,,,,,,,,
1691735602349,1691735812789,10.10.130.119,,53567,239.255.255.250,,1900,44,5984,7832,hanlab,,,,,,,,
1691735797773,1691735812808,10.10.192.241,,2764,10.15.60.11,,7680,5,0,330,hanlab,,,,,,,,
1691735812819,1691735812825,10.10.163.241,,59933,10.10.1.77,,13000,13,2477,3239,hanlab,,,,,,,,
1691735598256,1691735812851,10.10.161.195,,50632,10.10.4.40,,8888,60,0,17904,hanlab,,,,,,,,
1691735812812,1691735812864,10.10.122.182,,59490,10.10.1.220,,8083,14,6551,7367,hanlab,"10.10.1.220:8083/Controls/Druginfo/BriefMono.aspx?CustID=PACHAH&DrugCode=M1AR043&SubCode=&CodeType=C",,,,,,,
1691735812617,1691735812878,10.10.122.182,,59489,10.10.1.220,,8083,135,91932,99642,hanlab,"10.10.1.220:8083/Data/DrugPicS/N_MSDRMN001KS.gif, 10.10.1.220:8083/Page.aspx?CustID=PACHAH&MenuID=DRUGINFO&Proc=BasicInfo&DrugCode=M1AR043&CodeType=C, 10.10.1.220:8083/Modules/WebFunctions.asmx/GetDrugInfo",,,,,,,
1691735782387,1691735812882,10.10.128.132,,13722,13.230.84.82,JP,443,38,17557,19717,hanlab,,,,,,,,
1691735812905,1691735812909,10.10.126.48,,60677,10.10.125.190,,7680,11,190,838,hanlab,,,,,,,,
1691735812921,1691735812921,10.10.118.208,,5251,10.10.4.40,,445,2,0,126,hanlab,,,,,,,,
1691735808790,1691735812926,10.10.128.78,,62182,10.10.1.79,,13111,19,2902,3994,hanlab,,,,,,,,
1691735812945,1691735812950,10.10.82.58,,58410,10.15.30.188,,7680,8,75,561,hanlab,,,,,,,,
1691735812952,1691735812952,10.10.118.208,,5252,10.10.4.41,,445,2,0,126,hanlab,,,,,,,,
1691735596784,1691735812954,10.10.129.102,,62703,10.10.1.45,,1521,2475,0,588335,hanlab,,,,,,,,
1691735812836,1691735812969,10.10.128.56,,55704,142.250.206.228,US,443,12,5113,5617,hanlab,,,,,,,,
